raw;clean
Zeitschrift fur Soziologie;Zeitschrift für Soziologie
Kolner Zeitschrift fur Soziologie und Sozialpsychologie;Kölner Zeitschrift für Soziologie und Sozialpsychologie
KZfSS Kölner Zeitschrift für Soziologie und Sozialpsychologie;Kölner Zeitschrift für Soziologie und Sozialpsychologie
Kölner Zeitschrift für Soziologie und Sozialpsycholgie;Kölner Zeitschrift für Soziologie und Sozialpsychologie
Kölner Zeitschrift für Soziologie und Sozialforschung;Kölner Zeitschrift für Soziologie und Sozialpsychologie
Kölner Zeitschrift fur Soziologie und Sozialpsychologie;Kölner Zeitschrift für Soziologie und Sozialpsychologie
Koelner Zeitschrift fuer Soziologie und Sozialpsychologie;Kölner Zeitschrift für Soziologie und Sozialpsychologie
KOLNER ZEITSCHRIFT FUR SOZIOLOGIE UND SOZIALPSYCHOLOGIE;Kölner Zeitschrift für Soziologie und Sozialpsychologie
Berliner Journal Fur Soziologie;Berliner Journal für Soziologie
Berliner Journal fur Soziologie;Berliner Journal für Soziologie
DIW Wochenbericht;DIW Wochenbericht
DIW-Wochenbericht;DIW Wochenbericht
Wochenbericht des DIW Berlin;DIW Wochenbericht
DIW weekly report;DIW Wochenbericht
Weekly report;DIW Wochenbericht
The British Journal of Sociology;British Journal of Sociology
Social Media and Society;Social Media + Society
Aging &amp Mental Health;Aging & Mental Health
Gender &amp Society;Gender & Society
Work, Employment & Society;Work, Employment and Society
Zeitschrift Fur Soziologie;Zeitschrift für Soziologie
ZEITSCHRIFT FUR SOZIOLOGIE;Zeitschrift für Soziologie
Zeitschrift für Soziologie : ZfS;Zeitschrift für Soziologie
Soziologische Review;Soziologische Revue
European sociological review;European Sociological Review
EUROPEAN SOCIOLOGICAL REVIEW;European Sociological Review
European Societies ;European Societies
American Sociological Review ;American Sociological Review
AMERICAN SOCIOLOGICAL REVIEW;American Sociological Review
Schmollers Jahrbuch - Journal of Applied Social Science Studies;Schmollers Jahrbuch
Schmollers Jahrbuch - Zeitschrift für Wirtschafts- und Sozialwissenschaften;Schmollers Jahrbuch
Zeitschrift für Erziehungswissenschaft : ZfE;Zeitschrift für Erziehungswissenschaft
Zeitschrift Fur Erziehungswissenschaft;Zeitschrift für Erziehungswissenschaft
ZEITSCHRIFT FUR ERZIEHUNGSWISSENSCHAFT;Zeitschrift für Erziehungswissenschaft
Vierteljahrshefte für Wirtschaftsforschung;Vierteljahrshefte zur Wirtschaftsforschung